accuracy,predictions
0.6263736263736264,"[2 4 5 5 5 5 5 5 5 5 5 5 5 5 5 4 2 6 5 5 6 5 4 4 5 4 5 6 6 6 2 5 4 5 5 4 5
 3 4 9 6 4 5 5 5 6 4 5 6 6 6 5 6 5 5 5 5 6 6 5 5 4 6 9 6 5 5 5 6 6 4 6 2 5
 6 5 9 6 5]"
0.6373626373626373,"[2 4 5 6 5 5 6 6 6 5 6 6 5 3 6 5 4 4 2 5 4 6 5 4 5 4 5 4 6 6 2 5 4 2 5 4 2
 3 1 5 6 4 6 6 5 4 6 9 6 5 4 5 6 6 5 4 4 6 5 4 9 5 6 5 6 6 5 6 6 5 6 5 5 5
 6 9 5 6 4]"
0.7362637362637363,"[5 5 9 6 6 5 4 6 5 4 5 4 5 2 5 6 5 6 4 6 6 6 5 4 5 6 5 4 4 4 6 6 6 6 6 5 2
 2 6 9 6 4 6 6 6 5 4 9 6 6 6 5 6 6 6 6 6 5 6 4 5 6 6 6 5 5 5 5 6 5 5 6 7 5
 6 5 5 6 5]"
0.6703296703296703,"[4 4 5 6 5 9 5 5 6 5 6 9 6 5 6 5 4 4 5 6 6 6 5 4 4 7 6 6 6 6 2 6 4 5 6 4 5
 1 6 6 6 4 6 6 4 5 6 6 6 5 4 6 6 6 6 5 6 5 6 4 5 5 6 6 5 5 5 5 9 6 5 6 2 5
 5 6 6 6 4]"
0.6153846153846154,"[6 5 9 9 4 9 9 5 6 4 6 6 9 6 6 9 6 4 4 9 4 6 6 5 5 5 6 4 6 6 6 6 6 6 6 5 2
 5 6 6 9 4 6 6 5 5 4 6 6 6 4 6 6 5 6 6 5 6 6 4 6 4 6 6 6 5 5 4 9 5 5 6 7 5
 5 5 4 6 5]"
