降维前准确率,降维后准确率,降维前预测值,降维后预测值
0.391304347826087,0.42028985507246375,"[5 4 6 3 3 6 6 4 5 3 5 6 6 3 5 4 5 5 5 3 4 3 6 5 6 5 6 4 6 6 5 4 6 5 4 3 5
 7 5 6 6 4 6 6 6 4 5 6 6 6 4 6 6 6 6 6 6 6 6 5 6 3 5 6 6 5 3 5 1 5 5 6 5 5
 6 6 6 6 5]","[5 2 5 4 4 6 1 4 6 4 5 6 6 7 6 4 5 5 5 3 4 3 6 2 6 5 6 7 6 4 1 4 6 5 4 3 5
 7 5 6 6 4 6 6 6 4 5 5 6 5 4 6 6 6 6 6 6 5 6 6 6 3 5 6 6 5 4 5 5 5 5 5 5 5
 6 6 6 6 5]"
0.36231884057971014,0.36231884057971014,"[5 5 5 6 6 1 6 2 1 6 5 4 5 6 4 6 5 4 6 6 7 6 6 4 6 5 6 6 5 4 1 6 6 1 6 2 5
 2 6 6 6 5 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 5 6 6 6 7 6 3 6 5 6 5 5
 6 6 6 6 5]","[5 2 4 6 6 1 4 4 1 6 5 1 4 6 1 6 5 1 5 6 6 6 6 1 6 5 6 6 6 4 1 6 6 1 6 3 2
 7 5 6 6 4 6 6 6 4 6 5 6 5 6 6 6 6 6 6 6 6 6 5 6 3 5 6 6 5 2 6 1 5 6 5 5 6
 6 6 6 6 1]"
0.36231884057971014,0.391304347826087,"[5 4 6 3 3 1 6 6 1 3 5 5 5 7 5 6 5 1 5 3 6 3 6 4 6 5 6 6 6 6 1 3 6 1 3 3 2
 7 5 6 6 4 6 6 6 5 5 6 6 6 6 6 6 6 6 6 6 6 6 5 6 3 5 6 6 6 2 5 1 5 5 6 5 5
 6 6 6 6 5]","[5 2 2 5 5 6 6 2 6 2 6 6 6 5 6 2 6 6 5 5 2 5 6 6 6 5 6 5 6 2 1 5 6 6 5 5 2
 5 5 6 6 4 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 5 6 5 5 6 6 5 5 6 6 5 5 6 5 5
 6 6 6 6 5]"
0.36231884057971014,0.43478260869565216,"[5 4 4 7 3 4 4 4 4 3 4 4 4 7 4 4 4 4 5 7 4 7 4 4 6 5 4 7 4 4 4 7 4 4 7 7 4
 3 5 6 6 4 6 6 6 6 5 6 6 5 3 6 6 6 6 6 6 6 6 5 6 3 5 6 6 5 3 5 5 5 5 6 5 5
 6 6 6 6 5]","[5 4 4 6 6 1 6 2 4 6 6 4 6 5 4 6 4 4 5 6 2 6 6 4 6 5 6 4 6 4 4 6 6 1 6 2 4
 4 5 6 6 4 6 6 6 6 5 6 6 5 6 6 6 6 6 6 6 6 6 5 6 6 5 6 6 5 7 5 6 5 5 6 5 5
 6 6 6 6 5]"
0.463768115942029,0.37681159420289856,"[5 2 4 6 6 2 6 4 2 6 6 2 2 1 2 6 2 2 5 6 6 6 6 2 6 5 6 6 2 4 2 6 6 2 6 5 2
 7 5 6 6 4 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 5 6 6 5 5 6 1 5 6 6 5 5
 6 6 6 6 5]","[5 2 4 6 3 2 2 4 2 6 2 2 2 3 2 4 2 2 5 3 4 3 2 2 6 5 6 6 2 6 2 3 6 2 6 3 2
 3 5 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 5 6 6 5 5 6 4 5 6 6 5 5
 6 6 6 6 5]"
